UFC_Page,cards,date,fights,fighter_1_Fighter,fighter_1_KD,fighter_1_Sig_Strike_Landed,fighter_1_Sig_Strike_Attempts,fighter_1_Sig_Strike_Percent,fighter_1_Strike_Landed,fighter_1_Strike_Attempts,fighter_1_TD_Landed,fighter_1_TD_Attempts,fighter_1_TD_Percent,fighter_1_Sub_Attempts,fighter_1_Pass,fighter_1_Rev,fighter_2_Fighter,fighter_2_KD,fighter_2_Sig_Strike_Landed,fighter_2_Sig_Strike_Attempts,fighter_2_Sig_Strike_Percent,fighter_2_Strike_Landed,fighter_2_Strike_Attempts,fighter_2_TD_Landed,fighter_2_TD_Attempts,fighter_2_TD_Percent,fighter_2_Sub_Attempts,fighter_2_Pass,fighter_2_Rev,method,round_finished,time,time_format,referee,fighter_1_res,fighter_2_res,weight_class
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/61bedad39b15db7a,Michael Chiesa,0,24,52,0.46,93,125,4,6,0.66,0,0,NA,Neil Magny,0,12,50,0.24,52,96,1,3,0.33,1,0,NA,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,W,L,Welterweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/dd34dd337e637767,Warlley Alves,1,17,21,0.8,24,30,1,1,1,0,0,NA,Mounir Lazzez,0,2,2,1,2,2,0,0,NA,0,0,NA,KO/TKO,1,2:35,3 Rnd (5-5-5),Herb Dean,W,L,Welterweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/4f6d3cdf2c77fb57,Ike Villanueva,1,24,56,0.42,24,56,0,0,NA,0,0,NA,Vinicius Moreira,0,24,42,0.5700000000000001,24,42,0,0,NA,0,0,NA,KO/TKO,2,0:39,3 Rnd (5-5-5),Jason Herzog,W,L,Light Heavyweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/a003e8305d4dbdc8,Roxanne Modafferi,0,46,184,0.25,49,193,0,5,0,0,0,NA,Viviane Araujo,0,86,198,0.43,100,214,4,4,1,1,0,NA,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,L,W,Women's Flyweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/57e784028ef2c17d,Matt Schnell,0,85,214,0.39,85,214,0,0,NA,0,0,NA,Tyson Nam,0,58,193,0.3,58,193,0,0,NA,0,0,NA,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,W,L,Flyweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/d27ac1bc677b89cf,Lerone Murphy,0,48,115,0.41000000000000003,60,131,1,4,0.25,0,0,NA,Douglas Silva de Andrade,0,39,108,0.36,51,121,1,2,0.5,0,0,NA,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,W,L,Featherweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/ac475de5a3d0d7e2,Omari Akhmedov,0,25,38,0.65,73,91,2,5,0.4,1,0,NA,Tom Breese,0,1,4,0.25,6,12,0,1,0,3,1,NA,Submission,2,1:41,3 Rnd (5-5-5),Lukasz Bosacki,W,L,Middleweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/4abcf14faa7f92f2,Ricky Simon,0,17,32,0.53,50,69,7,10,0.7000000000000001,1,0,NA,Gaetano Pirrello,0,6,14,0.42,10,18,0,0,NA,0,0,NA,Submission,2,4:00,3 Rnd (5-5-5),Keith Peterson,W,L,Bantamweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/ddbe6fd66d7f9e35,Su Mudaerji,0,50,127,0.39,50,127,0,0,NA,0,0,NA,Zarrukh Adashev,0,28,123,0.22,28,123,0,1,0,0,0,NA,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,W,L,Flyweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/76b61ff4c9760f79,Dalcha Lungiambula,0,29,65,0.44,61,98,1,2,0.5,0,0,NA,Markus Perez,0,25,49,0.51,50,75,0,1,0,1,0,NA,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,W,L,Middleweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/4e451881e0e47b05,Francisco Figueiredo,0,29,53,0.54,39,65,4,6,0.66,0,0,NA,Jerome Rivera,0,31,134,0.23,85,199,0,5,0,0,1,NA,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,W,L,Flyweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/031e6624f96aceb8,Mike Davis,0,108,207,0.52,111,210,3,9,0.33,0,0,NA,Mason Jones,0,117,313,0.37,132,329,1,4,0.25,0,0,NA,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,W,L,Lightweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/11558384f80f6506,Umar Nurmagomedov,0,25,41,0.6,32,48,5,11,0.45,1,0,NA,Sergey Morozov,0,7,30,0.23,8,31,0,0,NA,0,0,NA,Submission,2,3:39,3 Rnd (5-5-5),Jason Herzog,W,L,Bantamweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/56116537d71a578c,"January 20, 2021",http://ufcstats.com/fight-details/ae38fb2a6b6a0cc1,Victoria Leonardo,0,17,81,0.2,18,82,0,1,0,0,0,NA,Manon Fiorot,0,53,100,0.53,58,105,1,1,1,0,0,NA,KO/TKO,2,4:08,3 Rnd (5-5-5),Lukasz Bosacki,L,W,Women's Flyweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/307064d3e0f036c2,"January 16, 2021",http://ufcstats.com/fight-details/a4817b7e46028b4a,Max Holloway,0,445,744,0.59,447,746,0,1,0,0,0,NA,Calvin Kattar,0,133,283,0.47000000000000003,134,284,0,2,0,0,0,NA,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,W,L,Featherweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/307064d3e0f036c2,"January 16, 2021",http://ufcstats.com/fight-details/6b0da0b1cda7799f,Carlos Condit,0,39,88,0.44,157,209,2,4,0.5,0,1,NA,Matt Brown,0,28,37,0.75,37,52,1,6,0.16,0,0,NA,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,W,L,Welterweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/307064d3e0f036c2,"January 16, 2021",http://ufcstats.com/fight-details/aeb7ff8ce6e1beac,Santiago Ponzinibbio,0,11,18,0.61,11,18,0,0,NA,0,0,NA,Li Jingliang,1,21,50,0.42,21,50,0,0,NA,0,0,NA,KO/TKO,1,4:25,3 Rnd (5-5-5),Jason Herzog,L,W,Welterweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/307064d3e0f036c2,"January 16, 2021",http://ufcstats.com/fight-details/775c1f401815bbd8,Joaquin Buckley,0,3,22,0.13,3,22,0,0,NA,0,0,NA,Alessio Di Chirico,1,12,23,0.52,12,23,0,0,NA,0,0,NA,KO/TKO,1,2:12,3 Rnd (5-5-5),Keith Peterson,L,W,Middleweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/307064d3e0f036c2,"January 16, 2021",http://ufcstats.com/fight-details/358f816aff469270,Punahele Soriano,2,30,66,0.45,32,69,0,1,0,0,0,NA,Dusko Todorovic,0,22,57,0.38,23,59,0,0,NA,0,0,NA,KO/TKO,1,4:48,3 Rnd (5-5-5),Herb Dean,W,L,Middleweight Bout
http://ufcstats.com/statistics/events/completed?page=all,http://ufcstats.com/event-details/307064d3e0f036c2,"January 16, 2021",http://ufcstats.com/fight-details/97ad63e644757cf4,Wu Yanan,0,58,129,0.44,70,148,1,2,0.5,0,1,NA,Joselyne Edwards,0,88,178,0.49,111,206,0,3,0,1,1,NA,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,L,W,Women's Bantamweight Bout
