Movie,Character,House,Dialogue
Sorcerer_stone,Movie_Albus,Gryffindor," Ah, Professor, I would trust Hagrid with my life."
Sorcerer_stone,Movie_Draco,Slytherin," It's true then, what they're saying on the train. Harry Potter has come to Hogwarts. {Students whisper, Harry Potter?} This is Crabbe, and Goyle {nods to thugs} and I'm Malfoy...Draco Malfoy. {Ron snickers at his name} Think my name's funny, do you? No need to ask yours. Red hair, and a hand me down robe? You must be a Weasley. Well soon find that some wizarding families are better than others, Potter. Dont want to go making friends with the wrong sort. I can help you there. {extends hand.}"
Sorcerer_stone,Movie_Draco,Slytherin, Up! {broomstick flies up and Draco smugly grins.}
Sorcerer_stone,Movie_Draco,Slytherin," {snickers} Did you see his face? Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat ass. {Laughs.}"
Sorcerer_stone,Movie_Draco,Slytherin," No. I think I'll leave it somewhere for Longbottom to find. {hops on broom and soars around group, then through.} How 'bout up on the roof?? {soars off and hovers high in the sky.} What's the matter, Potter? Bit beyond your reach?"
Sorcerer_stone,Movie_Draco,Slytherin," Is that so? {Harry makes a dash for him, but Draco twirls around his broom in a 360.} Have it your way, then! {He throws the Remembrall into the air.}"
Sorcerer_stone,Movie_Draco,Slytherin, Wingardium Levio-saaa.
Sorcerer_stone,Movie_Draco,Slytherin, No!
Sorcerer_stone,Movie_Draco,Slytherin," Excuse me, Professor. Perhaps I heard you wrong. I thought you said...""the four of us."""
Sorcerer_stone,Movie_Draco,Slytherin, The forest? I thought that was a joke! We can't go in there. Students aren't allowed. And there are...{a howl sounds}...werewolves!
Sorcerer_stone,Movie_Draco,Slytherin, Okay. Then I get Fang!
Sorcerer_stone,Movie_Draco,Slytherin, You wait till my father hears about this. This is servant's stuff.
Sorcerer_stone,Movie_Draco,Slytherin," Scared, Potter?! {Scoffs} {howl} Did you hear that? Come on, Fang. Scared."
Sorcerer_stone,Movie_Draco,Slytherin," {A look of pure fear} AHHHHHHHHH!!! AHHH! {runs away, with Fang} HELP!!!!!"
Sorcerer_stone,Movie_Draco,Slytherin," Nice one, Mate! {sees Ron looking at him and sneers.}"
Sorcerer_stone,Movie_Dudley,No Entry," Wake up, cousin! We're going to the zoo!"
Sorcerer_stone,Movie_Dudley,No Entry, How many are there?
Sorcerer_stone,Movie_Dudley,No Entry, Thirty-six?! But last year last year I got thirty-seven!!
Sorcerer_stone,Movie_Dudley,No Entry, I don't care how big they are!
Sorcerer_stone,Movie_Dudley,No Entry, Make it move.
Sorcerer_stone,Movie_Dudley,No Entry, MOVE!
Sorcerer_stone,Movie_Dudley,No Entry, He's boring.
Sorcerer_stone,Movie_Dudley,No Entry," Mummy, dad, come here! You won't believe what this snake is doing!!"
Sorcerer_stone,Movie_Dudley,No Entry, Whoa! Ahh! Ahh!!
