k,fighter,elo,match_id,date,weight_class
20,Aaron Brink,1490,4906,2000-11-17,Heavyweight
20,Aaron Phillips,1490,2450,2014-05-24,Featherweight
20,Aaron Phillips,1480.28774368332,2298,2014-08-23,Bantamweight
20,Aaron Riley,1490,4839,2002-05-10,Welterweight
20,Aaron Riley,1480.28774368332,4641,2006-01-16,Welterweight
20,Aaron Riley,1490.85450002419,4148,2008-11-15,Lightweight
20,Aaron Riley,1481.1176678934905,4072,2009-03-07,Lightweight
20,Aaron Riley,1491.939535638641,3987,2009-08-08,Lightweight
20,Aaron Riley,1482.171492837859,3933,2009-11-14,Lightweight
20,Aaron Riley,1492.6841885945273,3802,2010-05-29,Lightweight
20,Aaron Riley,1482.8947234583432,3446,2011-09-24,Lightweight
20,Aaron Riley,1473.3866554954045,2815,2013-07-27,Lightweight
20,Aaron Rosa,1490,3530,2011-06-11,Heavyweight
20,Aaron Rosa,1500.28774368332,3398,2011-11-12,Light Heavyweight
20,Aaron Rosa,1490.2794617562658,3276,2012-03-02,Light Heavyweight
20,Aaron Simpson,1510,4062,2009-04-01,Middleweight
20,Aaron Simpson,1519.71225631668,3979,2009-08-29,Middleweight
20,Aaron Simpson,1529.14549997581,3879,2010-01-11,Middleweight
20,Aaron Simpson,1518.3085872825525,3774,2010-06-19,Middleweight
20,Aaron Simpson,1507.7821110153932,3673,2010-11-20,Middleweight
20,Aaron Simpson,1517.5581613059812,3575,2011-03-26,Middleweight
20,Aaron Simpson,1527.0532265832232,3506,2011-07-02,Middleweight
20,Aaron Simpson,1536.2761419907972,3429,2011-10-08,Middleweight
20,Aaron Simpson,1525.2358084114933,3297,2012-02-15,Middleweight
20,Aaron Simpson,1534.5107381113755,3147,2012-07-11,Welterweight
20,Aaron Simpson,1523.5206931513437,3086,2012-10-05,Welterweight
20,Aaron Wilkinson,1490,3661,2010-12-04,Lightweight
20,Abdul-Kerim Edilov,1510,880,2017-09-02,Light Heavyweight
20,Abdul Razak Alhassan,1510,1245,2016-11-19,Welterweight
20,Abdul Razak Alhassan,1499.71225631668,998,2017-05-28,Welterweight
20,Abdul Razak Alhassan,1509.7205382437342,742,2017-12-02,Welterweight
20,Abdul Razak Alhassan,1519.1533066894733,682,2018-01-20,Welterweight
20,Abdul Razak Alhassan,1528.6025879842855,390,2018-09-08,Welterweight
20,Abel Trujillo,1510,3045,2012-12-08,Lightweight
20,Abel Trujillo,1499.71225631668,2859,2013-05-25,Lightweight
20,Abel Trujillo,1499.7205382437342,2779,2013-08-28,Lightweight
20,Abel Trujillo,1509.7283434250523,2638,2013-12-14,Lightweight
20,Abel Trujillo,1519.4484123468862,2577,2014-02-01,Lightweight
20,Abel Trujillo,1509.1704770982833,2154,2014-12-06,Lightweight
20,Abel Trujillo,1518.9065908288603,1732,2015-11-07,Lightweight
20,Abel Trujillo,1528.3629519157744,1634,2016-01-02,Lightweight
20,Abel Trujillo,1537.5484091851517,1476,2016-05-29,Lightweight
20,Abel Trujillo,1526.471867091139,1115,2017-02-04,Lightweight
20,Abel Trujillo,1515.7114164741383,716,2017-12-16,Lightweight
20,Abner Lloveras,1490,1676,2015-12-11,Lightweight
20,Abu Azaitar,1510,439,2018-07-22,Middleweight
20,Adam Cella,1490,2918,2013-04-06,Middleweight
20,Adam Milstead,1510,1480,2016-05-29,Heavyweight
20,Adam Milstead,1509.71225631668,1119,2017-02-04,Heavyweight
20,Adam Milstead,1499.43278790048,616,2018-03-03,Light Heavyweight
20,Adam Milstead,1489.4491135625374,247,2018-12-15,Light Heavyweight
20,Adam Wieczorek,1510,780,2017-11-18,Heavyweight
20,Adam Wieczorek,1519.71225631668,583,2018-04-14,Heavyweight
20,Adam Wieczorek,1509.14549997581,334,2018-11-03,Heavyweight
20,Adam Yandiev,1490.2957805832477,383,2018-09-15,Middleweight
20,Adlan Amagov,1510,2919,2013-04-06,Welterweight
20,Adlan Amagov,1519.71225631668,2718,2013-10-19,Welterweight
20,Adriano Martins,1510,2682,2013-11-09,Lightweight
20,Adriano Martins,1499.71225631668,2587,2014-01-25,Lightweight
20,Adriano Martins,1509.7205382437342,2361,2014-07-06,Lightweight
20,Adriano Martins,1519.4408316408462,2051,2015-02-22,Lightweight
20,Adriano Martins,1528.8818627794692,1756,2015-10-03,Lightweight
20,Adriano Martins,1518.0524855030792,1280,2016-10-08,Lightweight
20,Adriano Martins,1507.5333602903168,869,2017-09-09,Lightweight
20,Aiemann Zahabi,1510,1100,2017-02-19,Bantamweight
20,Aiemann Zahabi,1499.71225631668,804,2017-11-04,Bantamweight
20,Aiemann Zahabi,1489.7205382437342,58,2019-05-04,Bantamweight
20,Aisling Daly,1510,2148,2014-12-12,Women's Strawweight
20,Aisling Daly,1499.71225631668,1979,2015-04-25,Women's Strawweight
20,Aisling Daly,1509.7205382437342,1744,2015-10-24,Women's Strawweight
20,Akbarh Arreola,1490,2329,2014-07-26,Lightweight
20,Akbarh Arreola,1500.28774368332,2170,2014-11-22,Lightweight
20,Akbarh Arreola,1490.2794617562658,2019,2015-03-21,Lightweight
20,Akbarh Arreola,1480.5591683591538,1718,2015-11-14,Lightweight
20,Akihiro Gono,1510,4341,2007-11-17,Welterweight
20,Akihiro Gono,1499.71225631668,4167,2008-10-18,Welterweight
20,Akihiro Gono,1489.7205382437342,4098,2009-01-31,Welterweight
20,Akira Corassani,1510,3098,2012-09-29,Featherweight
20,Akira Corassani,1519.71225631668,2916,2013-04-06,Featherweight
20,Akira Corassani,1529.14549997581,2656,2013-11-30,Featherweight
20,Akira Corassani,1518.3085872825525,2492,2014-04-16,Featherweight
20,Akira Corassani,1507.7821110153932,2229,2014-10-04,Featherweight
20,Akira Corassani,1497.8459461247185,2083,2015-01-24,Featherweight
20,Al Iaquinta,1490,3203,2012-06-01,Lightweight
20,Al Iaquinta,1500.28774368332,2766,2013-08-31,Lightweight
20,Al Iaquinta,1510.2794617562658,2703,2013-10-26,Lightweight
20,Al Iaquinta,1519.9836813645388,2581,2014-02-01,Lightweight
20,Al Iaquinta,1509.4091382230747,2448,2014-05-24,Lightweight
20,Al Iaquinta,1519.1383876432544,2278,2014-09-05,Lightweight
20,Al Iaquinta,1528.8687528115445,2195,2014-11-07,Lightweight
20,Al Iaquinta,1538.039750275973,2071,2015-01-31,Lightweight
20,Al Iaquinta,1546.949232282561,2004,2015-04-04,Lightweight
20,Al Iaquinta,1555.6060902191807,1020,2017-04-22,Lightweight
20,Al Iaquinta,1544.3090707375443,586,2018-04-07,Lightweight
20,Al Iaquinta,1552.7668477901502,237,2018-12-15,Lightweight
20,Al Iaquinta,1541.550256990652,51,2019-05-04,Lightweight
20,Alan Belcher,1490,4554,2006-08-26,Middleweight
20,Alan Belcher,1500.28774368332,4499,2006-12-13,Middleweight
20,Alan Belcher,1490.2794617562658,4445,2007-04-07,Middleweight
20,Alan Belcher,1500.5591683591538,4428,2007-05-26,Light Heavyweight
20,Alan Belcher,1510.5430742139463,4346,2007-10-20,Middleweight
20,Alan Belcher,1500.2397132552496,4260,2008-04-19,Middleweight
20,Alan Belcher,1509.9533508596614,4175,2008-09-17,Middleweight
20,Alan Belcher,1519.666948740023,4106,2009-01-17,Middleweight
20,Alan Belcher,1509.1014922768384,4000,2009-07-11,Middleweight
20,Alan Belcher,1518.8395901779024,3903,2009-12-12,Catch Weight
20,Alan Belcher,1528.2978740193457,3808,2010-05-08,Middleweight
20,Alan Belcher,1537.4851919819266,3454,2011-09-17,Middleweight
20,Alan Belcher,1546.4104483730962,3238,2012-05-05,Middleweight
20,Alan Belcher,1535.3662911370106,3007,2012-12-29,Middleweight
20,Alan Belcher,1524.3518687433905,2877,2013-04-27,Middleweight
20,Alan Jouban,1510,2314,2014-08-16,Welterweight
20,Alan Jouban,1499.71225631668,2185,2014-11-08,Welterweight
20,Alan Jouban,1509.7205382437342,2040,2015-02-28,Welterweight
20,Alan Jouban,1519.4408316408462,1849,2015-07-15,Welterweight
20,Alan Jouban,1508.8818627794692,1755,2015-10-03,Welterweight
