date,fight_pk,fighter,kd,kds_received,method,pass,res,rev,round_finished,rounds,sig_reg_mixture,sig_reg_percent,sig_strike_attempts,sig_strike_landed,sig_strike_percent,sig_strikes_avoided,sig_strikes_received,strike_attempts,strike_landed,strike_percent,strikes_avoided,strikes_received,sub_attempts,td_attempts,td_landed,td_percent,tds_defended,tds_received,time,weight_class
2021-03-20,6012,Derek Brunson,0,0,Decision,0,W,NA,5,5,0.28792569659442724,0.6466346153846154,93,43,0.46236559139784944,38,36,323,226,0.6996904024767802,46,190,1,12,6,0.5,0,1,05:00:00,Men_Middleweight
2021-03-20,6012,Kevin Holland,0,0,Decision,0,L,NA,5,5,0.3135593220338983,0.7290322580645161,74,36,0.4864864864864865,50,43,236,190,0.8050847457627118,97,226,0,1,1,1,6,6,05:00:00,Men_Middleweight
2021-03-20,6011,Song Kenan,0,1,KO/TKO,0,L,NA,1,3,1,0.5833333333333334,24,14,0.5833333333333334,11,17,24,14,0.5833333333333334,11,17,0,0,0,0,1,0,02:20:00,Men_Welterweight
2021-03-20,6011,Max Griffin,1,0,KO/TKO,0,W,NA,1,3,1,0.6071428571428571,28,17,0.6071428571428571,10,14,28,17,0.6071428571428571,10,14,0,1,0,0,0,0,02:20:00,Men_Welterweight
2021-03-20,6010,Cheyanne Buys,0,0,Decision,3,L,NA,3,3,0.7471264367816092,0.5263157894736842,65,31,0.47692307692307695,26,15,87,49,0.5632183908045977,32,136,0,0,0,0,1,4,05:00:00,Women_Strawweight
2021-03-20,6010,Montserrat Conejo,0,0,Decision,1,W,NA,3,3,0.24404761904761904,0.722488038277512,41,15,0.36585365853658536,34,31,168,136,0.8095238095238095,38,49,2,5,4,0.8,0,0,05:00:00,Women_Strawweight
2021-03-20,6009,Adrian Yanez,2,0,KO/TKO,0,W,NA,3,3,1,0.39805825242718446,103,41,0.39805825242718446,28,23,103,41,0.39805825242718446,28,23,0,0,0,0,1,0,00:27:00,Men_Bantamweight
2021-03-20,6009,Gustavo Lopez,0,2,KO/TKO,0,L,NA,3,3,1,0.45098039215686275,51,23,0.45098039215686275,62,41,51,23,0.45098039215686275,62,41,0,1,0,0,0,0,00:27:00,Men_Bantamweight
2021-03-20,6008,Tai Tuivasa,1,0,KO/TKO,0,W,NA,1,3,1,0.7777777777777778,18,14,0.7777777777777778,4,2,18,14,0.7777777777777778,4,2,0,0,0,0,0,0,00:49:00,Men_Heavyweight
2021-03-20,6008,Harry Hunsucker,0,1,KO/TKO,0,L,NA,1,3,1,0.3333333333333333,6,2,0.3333333333333333,4,14,6,2,0.3333333333333333,4,14,0,0,0,0,0,0,00:49:00,Men_Heavyweight
2021-03-20,6007,Marion Reneau,0,0,Decision,0,L,NA,3,3,0.6774193548387096,0.5705128205128205,63,30,0.47619047619047616,87,51,93,59,0.6344086021505376,92,92,0,4,2,0.5,0,1,05:00:00,Women_Bantamweight
2021-03-20,6007,Macy Chiasson,0,0,Decision,1,W,NA,3,3,0.75,0.4440993788819876,138,51,0.3695652173913043,33,30,184,92,0.5,34,59,0,1,1,1,2,2,05:00:00,Women_Bantamweight
2021-03-20,6006,Leonardo Santos,0,0,KO/TKO,0,L,NA,3,3,0.5826086956521739,0.5714285714285714,67,30,0.44776119402985076,38,46,115,74,0.6434782608695652,57,75,0,2,1,0.5,12,1,04:59:00,Men_Lightweight
2021-03-20,6006,Grant Dawson,0,0,KO/TKO,0,W,NA,3,3,0.6363636363636364,0.5601851851851852,84,46,0.5476190476190477,37,30,132,75,0.5681818181818182,41,74,0,13,1,0.07692307692307693,1,1,04:59:00,Men_Lightweight
2021-03-20,6005,Trevin Giles,0,0,Decision,0,W,NA,3,3,0.7808219178082192,0.5384615384615384,57,27,0.47368421052631576,35,32,73,43,0.589041095890411,35,75,1,2,1,0.5,2,1,05:00:00,Men_Middleweight
2021-03-20,6005,Roman Dolidze,0,0,Decision,1,L,NA,3,3,0.6090909090909091,0.6045197740112994,67,32,0.47761194029850745,30,27,110,75,0.6818181818181818,30,43,2,3,1,0.3333333333333333,1,1,05:00:00,Men_Middleweight
2021-03-20,6004,Montel Jackson,2,0,KO/TKO,0,W,NA,1,3,1,0.5769230769230769,26,15,0.5769230769230769,11,14,26,15,0.5769230769230769,11,14,0,0,0,0,0,0,01:58:00,Men_Bantamweight
2021-03-20,6004,Jesse Strader,0,2,KO/TKO,0,L,NA,1,3,1,0.56,25,14,0.56,11,15,25,14,0.56,11,15,0,0,0,0,0,0,01:58:00,Men_Bantamweight
2021-03-20,6003,Bruno Silva,3,0,KO/TKO,0,W,NA,2,3,0.6853932584269663,0.66,61,37,0.6065573770491803,39,17,89,62,0.6966292134831461,39,37,0,2,1,0.5,1,0,02:56:00,Men_Flyweight
2021-03-20,6003,JP Buys,0,3,KO/TKO,0,L,NA,2,3,0.7368421052631579,0.4090909090909091,56,17,0.30357142857142855,24,37,76,37,0.4868421052631579,27,62,1,1,0,0,1,1,02:56:00,Men_Flyweight
2021-03-13,6002,Leon Edwards,0,0,Could Not Continue,0,N,NA,2,5,0.975,0.4936708860759494,39,19,0.48717948717948717,18,8,40,20,0.5,18,14,0,1,0,0,0,0,00:18:00,Men_Welterweight
2021-03-13,6002,Belal Muhammad,0,0,Could Not Continue,0,D,NA,2,5,0.8125,0.3793103448275862,26,8,0.3076923076923077,20,19,32,14,0.4375,20,20,0,0,0,0,1,0,00:18:00,Men_Welterweight
2021-03-13,6001,Misha Cirkunov,0,1,KO/TKO,0,L,NA,1,3,1,0.2777777777777778,18,5,0.2777777777777778,13,16,18,5,0.2777777777777778,13,16,0,0,0,0,0,0,01:11:00,Men_Heavyweight
2021-03-13,6001,Ryan Spann,1,0,KO/TKO,0,W,NA,1,3,1,0.5517241379310345,29,16,0.5517241379310345,13,5,29,16,0.5517241379310345,13,5,0,0,0,0,0,0,01:11:00,Men_Heavyweight
2021-03-13,6000,Dan Ige,1,0,KO/TKO,0,W,NA,1,3,1,0.25,4,1,0.25,0,1,4,1,0.25,0,1,0,0,0,0,0,0,00:22:00,Men_Featherweight
2021-03-13,6000,Gavin Tucker,0,1,KO/TKO,0,L,NA,1,3,1,1,1,1,1,3,1,1,1,1,3,1,0,0,0,0,0,0,00:22:00,Men_Featherweight
2021-03-13,5999,Jonathan Martinez,1,1,KO/TKO,0,L,NA,2,3,1,0.4084507042253521,71,29,0.4084507042253521,62,48,71,29,0.4084507042253521,62,49,0,0,0,0,1,0,03:03:00,Men_Bantamweight
2021-03-13,5999,Davey Grant,1,1,KO/TKO,0,W,NA,2,3,0.990990990990991,0.43891402714932126,110,48,0.43636363636363634,42,29,111,49,0.44144144144144143,42,29,0,1,0,0,0,0,03:03:00,Men_Bantamweight
2021-03-13,5998,Manel Kape,0,0,Decision,0,L,NA,3,3,0.9090909090909091,0.4253968253968254,150,61,0.4066666666666667,47,55,165,73,0.44242424242424244,56,76,0,0,0,0,7,2,05:00:00,Men_Flyweight
2021-03-13,5998,Matheus Nicolau,0,0,Decision,0,W,NA,3,3,0.7727272727272727,0.5598290598290598,102,55,0.5392156862745098,89,61,132,76,0.5757575757575758,92,73,1,9,2,0.2222222222222222,0,0,05:00:00,Men_Flyweight
2021-03-13,5997,Eryk Anders,1,0,Could Not Continue,0,N,NA,1,3,0.7974683544303798,0.7112676056338029,63,43,0.6825396825396826,27,15,79,58,0.7341772151898734,30,21,0,7,3,0.42857142857142855,0,0,04:37:00,Men_Middleweight
