"match_id","date","fighter","opponent","winner","weight_class"
1,"2019-06-08","Henry Cejudo","Marlon Moraes",1,"Bantamweight"
2,"2019-06-08","Jessica Eye","Valentina Shevchenko",0,"Women's Flyweight"
3,"2019-06-08","Donald Cerrone","Tony Ferguson",0,"Lightweight"
4,"2019-06-08","Jimmie Rivera","Petr Yan",0,"Bantamweight"
5,"2019-06-08","Blagoy Ivanov","Tai Tuivasa",1,"Heavyweight"
6,"2019-06-08","Nina Ansaroff","Tatiana Suarez",0,"Women's Strawweight"
7,"2019-06-08","Aljamain Sterling","Pedro Munhoz",1,"Bantamweight"
8,"2019-06-08","Alexa Grasso","Karolina Kowalkiewicz",1,"Women's Strawweight"
9,"2019-06-08","Calvin Kattar","Ricardo Lamas",1,"Featherweight"
10,"2019-06-08","Angela Hill","Yan Xiaonan",0,"Women's Strawweight"
11,"2019-06-08","Bevon Lewis","Darren Stewart",0,"Middleweight"
12,"2019-06-08","Eddie Wineland","Grigorii Popov",1,"Bantamweight"
13,"2019-06-08","Joanne Calderwood","Katlyn Chookagian",0,"Women's Flyweight"
14,"2019-06-01","Alexander Gustafsson","Anthony Smith",0,"Light Heavyweight"
15,"2019-06-01","Aleksandar Rakic","Jimi Manuwa",1,"Light Heavyweight"
16,"2019-06-01","Chris Fishgold","Makwan Amirkhani",0,"Featherweight"
17,"2019-06-01","Christos Giagos","Damir Hadzovic",1,"Lightweight"
18,"2019-06-01","Daniel Teymur","Sung Bin Jo",1,"Featherweight"
19,"2019-06-01","Rostem Akman","Sergey Khandozhko",0,"Welterweight"
20,"2019-06-01","Lina Lansberg","Tonya Evinger",1,"Women's Bantamweight"
21,"2019-06-01","Leonardo Santos","Stevie Ray",1,"Lightweight"
22,"2019-06-01","Frank Camacho","Nick Hein",1,"Lightweight"
23,"2019-06-01","Bea Malecki","Duda Santana",1,"Women's Bantamweight"
24,"2019-06-01","Darko Stosic","Devin Clark",0,"Light Heavyweight"
25,"2019-06-01","Danilo Belluardo","Joel Alvarez",0,"Lightweight"
26,"2019-05-18","Kevin Lee","Rafael Dos Anjos",0,"Welterweight"
27,"2019-05-18","Antonio Carlos Junior","Ian Heinisch",0,"Middleweight"
28,"2019-05-18","Felicia Spencer","Megan Anderson",1,"Women's Featherweight"
29,"2019-05-18","Derrick Krantz","Vicente Luque",0,"Welterweight"
30,"2019-05-18","Charles Oliveira","Nik Lentz",1,"Lightweight"
31,"2019-05-18","Austin Hubbard","Davi Ramos",0,"Lightweight"
32,"2019-05-18","Aspen Ladd","Sijara Eubanks",1,"Women's Bantamweight"
33,"2019-05-18","Charles Jourdain","Desmond Green",0,"Lightweight"
34,"2019-05-18","Danny Roberts","Michel Pereira",0,"Welterweight"
35,"2019-05-18","Grant Dawson","Michael Trizano",1,"Featherweight"
36,"2019-05-18","Ed Herman","Patrick Cummins",1,"Light Heavyweight"
37,"2019-05-18","Trevin Giles","Zak Cummings",0,"Middleweight"
38,"2019-05-18","Julian Erosa","Julio Arce",0,"Featherweight"
39,"2019-05-11","Jessica Andrade","Rose Namajunas",1,"Women's Strawweight"
40,"2019-05-11","Anderson Silva","Jared Cannonier",0,"Middleweight"
41,"2019-05-11","Alexander Volkanovski","Jose Aldo",1,"Featherweight"
42,"2019-05-11","Laureano Staropoli","Thiago Alves",1,"Welterweight"
43,"2019-05-11","Bethe Correia","Irene Aldana",0,"Women's Bantamweight"
44,"2019-05-11","Rogerio Nogueira","Ryan Spann",0,"Light Heavyweight"
45,"2019-05-11","Kurt Holobaugh","Thiago Moises",0,"Lightweight"
46,"2019-05-11","Sergio Moraes","Warlley Alves",0,"Welterweight"
47,"2019-05-11","BJ Penn","Clay Guida",0,"Lightweight"
48,"2019-05-11","Luana Carolina","Priscila Cachoeira",1,"Women's Flyweight"
49,"2019-05-11","Carlos Huachin","Raoni Barcelos",0,"Bantamweight"
50,"2019-05-11","Talita Bernardo","Viviane Araujo",0,"Women's Bantamweight"
51,"2019-05-04","Al Iaquinta","Donald Cerrone",0,"Lightweight"
52,"2019-05-04","Derek Brunson","Elias Theodorou",1,"Middleweight"
53,"2019-05-04","Cub Swanson","Shane Burgos",0,"Featherweight"
54,"2019-05-04","Brad Katona","Merab Dvalishvili",0,"Bantamweight"
55,"2019-05-04","Serghei Spivac","Walt Harris",0,"Heavyweight"
56,"2019-05-04","Andrew Sanchez","Marc-Andre Barriault",1,"Middleweight"
57,"2019-05-04","Macy Chiasson","Sarah Moras",1,"Women's Bantamweight"
58,"2019-05-04","Aiemann Zahabi","Vince Morales",0,"Bantamweight"
59,"2019-05-04","Kyle Prepolec","Nordine Taleb",0,"Welterweight"
60,"2019-05-04","Kyle Nelson","Matt Sayles",0,"Featherweight"
61,"2019-05-04","Arjan Bhullar","Juan Adams",1,"Heavyweight"
62,"2019-05-04","Cole Smith","Mitch Gagnon",1,"Bantamweight"
63,"2019-04-27","Jacare Souza","Jack Hermansson",0,"Middleweight"
64,"2019-04-27","Dmitrii Smoliakov","Greg Hardy",0,"Heavyweight"
65,"2019-04-27","Alex Oliveira","Mike Perry",0,"Welterweight"
66,"2019-04-27","Glover Teixeira","Ion Cutelaba",1,"Light Heavyweight"
67,"2019-04-27","Cory Sandhagen","John Lineker",1,"Bantamweight"
68,"2019-04-27","Roosevelt Roberts","Thomas Gifford",1,"Lightweight"
69,"2019-04-27","Ben Saunders","Takashi Sato",0,"Welterweight"
70,"2019-04-27","Andrei Arlovski","Augusto Sakai",0,"Heavyweight"
71,"2019-04-27","Carla Esparza","Virna Jandiroba",1,"Women's Strawweight"
72,"2019-04-27","Gilbert Burns","Mike Davis",1,"Lightweight"
73,"2019-04-27","Jason Gonzalez","Jim Miller",0,"Lightweight"
74,"2019-04-27","Angela Hill","Jodie Esquibel",1,"Women's Strawweight"
75,"2019-04-27","Court McGee","Dhiego Lima",0,"Welterweight"
76,"2019-04-20","Aleksei Oleinik","Alistair Overeem",0,"Heavyweight"
77,"2019-04-20","Arman Tsarukyan","Islam Makhachev",0,"Lightweight"
78,"2019-04-20","Marcelo Golm","Sergei Pavlovich",0,"Heavyweight"
79,"2019-04-20","Antonina Shevchenko","Roxanne Modafferi",0,"Women's Flyweight"
80,"2019-04-20","Alen Amedovski","Krzysztof Jotko",0,"Middleweight"
81,"2019-04-20","Movsar Evloev","Seungwoo Choi",1,"Featherweight"
82,"2019-04-20","Keita Nakamura","Sultan Aliev",0,"Welterweight"
83,"2019-04-20","Alex Da Silva","Alexander Yakovlev",0,"Lightweight"
84,"2019-04-20","Marcin Tybura","Shamil Abdurakhimov",0,"Heavyweight"
85,"2019-04-20","Gadzhimurad Antigulov","Michal Oleksiejczuk",0,"Light Heavyweight"
86,"2019-04-20","Magomed Mustafaev","Rafael Fiziev",1,"Lightweight"
87,"2019-04-13","Dustin Poirier","Max Holloway",1,"Lightweight"
88,"2019-04-13","Israel Adesanya","Kelvin Gastelum",1,"Middleweight"
89,"2019-04-13","Eryk Anders","Khalil Rountree Jr.",0,"Light Heavyweight"
90,"2019-04-13","Alan Jouban","Dwight Grant",0,"Welterweight"
91,"2019-04-13","Nikita Krylov","Ovince Saint Preux",1,"Light Heavyweight"
92,"2019-04-13","Jalin Turner","Matt Frevola",0,"Lightweight"
93,"2019-04-13","Alexandre Pantoja","Wilson Reis",1,"Flyweight"
94,"2019-04-13","Max Griffin","Zelim Imadaev",1,"Welterweight"
95,"2019-04-13","Boston Salmon","Khalid Taha",0,"Bantamweight"
96,"2019-04-13","Belal Muhammad","Curtis Millender",1,"Welterweight"
97,"2019-04-13","Andre Soukhamthath","Montel Jackson",0,"Bantamweight"
98,"2019-04-13","Lauren Mueller","Poliana Botelho",0,"Women's Flyweight"
99,"2019-04-13","Brandon Davis","Randy Costa",1,"Bantamweight"
100,"2019-03-30","Edson Barboza","Justin Gaethje",0,"Lightweight"
101,"2019-03-30","David Branch","Jack Hermansson",0,"Middleweight"
102,"2019-03-30","Josh Emmett","Michael Johnson",1,"Featherweight"
103,"2019-03-30","Karolina Kowalkiewicz","Michelle Waterson",0,"Women's Strawweight"
104,"2019-03-30","Kennedy Nzechukwu","Paul Craig",0,"Light Heavyweight"
105,"2019-03-30","Sheymon Moraes","Sodiq Yusuff",0,"Featherweight"
106,"2019-03-30","Jessica Aguilar","Marina Rodriguez",0,"Women's Strawweight"
107,"2019-03-30","Desmond Green","Ross Pearson",1,"Lightweight"
108,"2019-03-30","Enrique Barzola","Kevin Aguilar",0,"Featherweight"
109,"2019-03-30","Gerald Meerschaert","Kevin Holland",0,"Middleweight"
110,"2019-03-30","Casey Kenney","Ray Borg",1,"Bantamweight"
111,"2019-03-30","Maryna Moroz","Sabina Mazo",1,"Women's Flyweight"
112,"2019-03-30","Alex Perez","Mark De La Rosa",1,"Bantamweight"
113,"2019-03-23","Anthony Pettis","Stephen Thompson",1,"Welterweight"
114,"2019-03-23","Curtis Blaydes","Justin Willis",1,"Heavyweight"
115,"2019-03-23","Jesus Pinedo","John Makdessi",0,"Lightweight"
116,"2019-03-23","Deiveson Figueiredo","Jussier Formiga",0,"Flyweight"
117,"2019-03-23","Luis Pena","Steven Peterson",1,"Featherweight"
118,"2019-03-23","JJ Aldrich","Maycee Barber",0,"Women's Flyweight"
119,"2019-03-23","Bobby Moffett","Bryce Mitchell",0,"Featherweight"
120,"2019-03-23","Frankie Saenz","Marlon Vera",0,"Bantamweight"
