State,2016Dem, 2016Rep, 2012Dem, 2012Rep, 2008Dem, 2008Rep, 2004Dem, 2004Rep, 2000Dem, 2000Rep, 1996Dem, 1996Rep, 1992Dem, 1992Rep, 1988Dem, 1988Rep, 1984Dem, 1984Rep, 1980Dem, 1980Rep, 1976Dem, 1976Rep, 1972Dem, 1972Rep, 1968Dem, 1968Rep, 1964Dem, 1964Rep, 1960Dem, 1960Rep
Nationwide,48.02,46.17,51.01,47.15,52.86,45.6,48.26,50.73,48.38,47.87,49.23,40.72,43.01,37.45,45.65,53.37,40.56,58.77,41.01,50.75,50.08,48.01,37.52,60.67,42.72,43.42,61.05,38.47,49.72,49.55
Alabama,34.36,62.08,38.36,60.55,38.74,60.32,36.84,62.46,41.59,56.47,43.16,50.12,40.88,47.65,39.86,59.17,38.28,60.54,47.45,48.75,55.73,42.61,25.54,72.43,18.72,13.99,30.5,69.45,56.39,42.16
Alaska,36.55,51.28,40.81,54.8,37.89,59.42,35.52,61.07,27.67,58.62,33.27,50.8,30.29,39.46,36.27,59.59,29.87,66.65,26.41,54.35,35.65,57.9,34.62,58.13,42.65,45.28,65.91,34.09,49.06,50.94
Arizona,44.59,48.1,44.45,53.48,44.91,53.39,44.32,54.77,44.67,50.95,46.52,44.29,36.52,38.47,38.74,59.95,32.54,66.42,28.24,60.61,39.8,56.37,30.38,61.64,35.02,54.78,49.45,50.45,44.36,55.52
Arkansas,33.65,60.57,36.88,60.57,38.86,58.72,44.55,54.31,45.86,51.31,53.74,36.8,53.21,35.48,42.19,56.37,38.29,60.47,47.52,48.13,64.94,34.93,30.71,68.82,30.33,31.01,56.06,43.41,50.19,43.06
California,61.88,31.68,60.16,37.07,60.92,36.9,54.3,44.36,53.45,41.65,51.1,38.21,46.01,32.61,47.56,51.13,41.27,57.51,35.91,52.69,47.57,49.35,41.54,55,44.74,47.82,59.11,40.79,49.55,50.1
Colorado,48.16,43.25,51.45,46.09,53.66,44.71,47.02,51.69,42.39,50.75,44.43,45.8,40.13,35.87,45.28,53.06,35.12,63.44,31.07,55.07,42.58,54.05,34.59,62.61,41.32,50.46,61.27,38.19,44.91,54.63
Connecticut,54.57,40.93,58.06,40.72,60.59,38.22,54.31,43.95,55.91,38.44,52.83,34.69,42.21,35.78,46.87,51.98,38.83,60.73,38.52,48.16,46.9,52.06,40.13,58.57,49.48,44.32,67.81,32.09,53.73,46.27
Delaware,53.35,41.92,58.61,39.98,61.91,36.93,53.34,45.74,54.96,41.9,51.78,36.54,43.51,35.31,43.48,55.88,39.93,59.78,44.87,47.21,51.98,46.57,39.18,59.6,41.61,45.12,60.95,38.78,50.63,49
Florida,47.45,48.64,49.9,49.03,50.91,48.1,47.09,52.1,48.84,48.85,48.02,42.32,39,40.89,38.51,60.87,34.66,65.32,38.5,55.52,51.93,46.64,27.8,71.91,30.93,40.53,51.15,48.85,48.49,51.51
