year,state,dem_two_party_share
1940,AL,0.855983066
1940,AR,0.790174502
1940,AZ,0.638103914
1940,CA,0.581479246
1940,CO,0.487138848
1940,CT,0.535796213
1940,DE,0.548364807
1940,FL,0.740144019
1940,GA,0.851197545
1940,IA,0.47788502
1940,ID,0.545412658
1940,IL,0.512233708
1940,IN,0.49283829
1940,KS,0.427131471
1940,KY,0.575876958
1940,LA,0.85909075
1940,MA,0.533930291
1940,MD,0.587918909
1940,ME,0.48833907
1940,MI,0.4983294
1940,MN,0.519316066
1940,MO,0.523904815
1940,MS,0.958071183
1940,MT,0.594014115
1940,NC,0.740310558
1940,ND,0.445170228
1940,NE,0.42813187
1940,NH,0.53220853
1940,NJ,0.51823503
1940,NM,0.566617854
1940,NV,0.600763531
1940,NY,0.517871146
1940,OH,0.522043657
1940,OK,0.576192472
1940,OR,0.540651087
1940,PA,0.534621411
1940,RI,0.56783705
1940,SC,0.956325754
1940,SD,0.425909535
1940,TN,0.675176763
1940,TX,0.810547393
1940,UT,0.623522803
1940,VA,0.683303217
1940,VT,0.450567863
1940,WA,0.589269229
1940,WI,0.509253793
1940,WV,0.570989176
1940,WY,0.52972659
1944,AL,0.817052633
1944,AR,0.700958987
1944,AZ,0.589783767
1944,CA,0.567913046
1944,CO,0.465809383
1944,CT,0.527019777
1944,DE,0.545707813
1944,FL,0.703237932
1944,GA,0.817476308
1944,IA,0.477371285
1944,ID,0.51749576
1944,IL,0.517438694
1944,IN,0.47149329
1944,KS,0.394018811
1944,KY,0.546322296
1944,LA,0.806048426
1944,MA,0.529117684
1944,MD,0.518523632
1944,ME,0.475000422
1944,MI,0.505128411
1944,MN,0.527946441
1944,MO,0.514745165
1944,MS,0.935578632
1944,MT,0.547134684
1944,NC,0.667125838
1944,ND,0.45794978
1944,NE,0.414198599
1944,NH,0.521227987
1944,NJ,0.506807633
1944,NM,0.535182835
1944,NV,0.546207176
1944,NY,0.525158677
1944,OH,0.498171615
1944,OK,0.556954283
1944,OR,0.524546414
1944,PA,0.513961605
1944,RI,0.586783027
1944,SC,0.955247063
1944,SD,0.416721246
1944,TN,0.606475606
1944,TX,0.833321579
1944,UT,0.60524479900000000
1944,VA,0.625197732
1944,VT,0.429368074
1944,WA,0.573712702
1944,WI,0.490898113
1944,WV,0.548880933
1944,WY,0.487655417
1948,AR,0.788276011
1948,AZ,0.55106799
1948,CA,0.502505886
1948,CO,0.527193187
1948,CT,0.49160502700000000
1948,DE,0.493540804
1948,FL,0.656763064
1948,GA,0.815820189
1948,IA,0.513952212
1948,ID,0.514017349
1948,IL,0.504248426
1948,IN,0.495934096
1948,KS,0.454101667
1948,KY,0.583065018
1948,LA,0.82419893
1948,MA,0.558806263
1948,MD,0.495018079
1948,ME,0.426915888
1948,MI,0.491394158
1948,MN,0.588964824
1948,MO,0.583413466
1948,MS,0.973729586
1948,MT,0.551660713
1948,NC,0.67156869
1948,ND,0.455156749
1948,NE,0.458472325
1948,NH,0.47100536
1948,NJ,0.477174156
1948,NM,0.567721931
1948,NV,0.515944466
1948,NY,0.49457792
1948,OH,0.50122599
1948,OK,0.627470382
1948,OR,0.482385711
1948,PA,0.479509378
1948,RI,0.581579734
1948,SC,0.962181216
1948,SD,0.475742406
1948,TN,0.629130866
1948,TX,0.755559905
1948,UT,0.545236207
1948,VA,0.586617626
1948,VT,0.375007203
1948,WA,0.552088164
1948,WI,0.52275394100000000
1948,WV,0.575752007
1948,WY,0.521968874
1952,AL,0.64829392
1952,AR,0.560905181
1952,AZ,0.416502283
1952,CA,0.426515515
1952,CO,0.392626734
1952,CT,0.440803689
1952,DE,0.480550717
1952,FL,0.449905256
1952,GA,0.696586775
1952,IA,0.358224527
1952,ID,0.344761193
1952,IL,0.450415734
1952,IN,0.413631205
1952,KS,0.30721292100000000
1952,KY,0.500353265
1952,LA,0.529221476
1952,MA,0.456057832
1952,MD,0.441835306
1952,ME,0.338325374
1952,MI,0.442334553
1952,MN,0.443589525
1952,MO,0.492166505
1952,MS,0.604366586
1952,MT,0.402921774
1952,NC,0.539101172
1952,ND,0.285738769
1952,NE,0.308462094
1952,NH,0.390778531
1952,NJ,0.424972025
1952,NM,0.44426925
1952,NV,0.385545687
1952,NY,0.439906192
1952,OH,0.432443029
1952,OK,0.454105654
1952,OR,0.391352832
1952,PA,0.4704607
1952,RI,0.490775611
1952,SC,0.507215189
1952,SD,0.30727565
1952,TN,0.498630679
1952,TX,0.467750202
1952,UT,0.410749073
1952,VA,0.434953716
1952,VT,0.283232727
1952,WA,0.451343099
1952,WI,0.388393545
1952,WV,0.519236493
1952,WY,0.371636132
1956,AL,0.606002158
1956,AR,0.541810553
1956,AZ,0.39005352
1956,CA,0.444860824
1956,CO,0.401610958
1956,CT,0.362676334
1956,DE,0.447497718
1956,FL,0.427292701
1956,GA,0.670614493
1956,IA,0.409204965
1956,ID,0.388012329
1956,IL,0.403655005
1956,IN,0.398586682
1956,KS,0.343279329
1956,KY,0.455730133
1956,LA,0.467168331
1956,MA,0.404969362
1956,MD,0.399648845
1956,ME,0.291345613
1956,MI,0.442452608
1956,MN,0.461933369
1956,MO,0.501087003
1956,MS,0.755449347
1956,MT,0.428652031
1956,NC,0.506635255
1956,ND,0.382789154
1956,NE,0.344855727
1956,NH,0.338865293
1956,NJ,0.34746016
1956,NM,0.420383021
1956,NV,0.420316685
1956,NY,0.387918025
1956,OH,0.388857902
1956,OK,0.448689126
1956,OR,0.447533092
1956,PA,0.433930345
1956,RI,0.417405169
1956,SC,0.748156083
