state,year,ev
AL,1944,11
AL,1948,11
AL,1952,11
AL,1956,11
AL,1960,11
AL,1964,10
AL,1968,10
AL,1972,9
AL,1976,9
AL,1980,9
AL,1984,9
AL,1988,9
AL,1992,9
AL,1996,9
AL,2000,9
AL,2004,9
AL,2008,9
AL,2012,9
AL,2016,9
AL,2020,9
AK,1960,3
AK,1964,3
AK,1968,3
AK,1972,3
AK,1976,3
AK,1980,3
AK,1984,3
AK,1988,3
AK,1992,3
AK,1996,3
AK,2000,3
AK,2004,3
AK,2008,3
AK,2012,3
AK,2016,3
AK,2020,3
AZ,1944,4
AZ,1948,4
AZ,1952,4
AZ,1956,4
AZ,1960,4
AZ,1964,5
AZ,1968,5
AZ,1972,6
AZ,1976,6
AZ,1980,6
AZ,1984,7
AZ,1988,7
AZ,1992,8
AZ,1996,8
AZ,2000,8
AZ,2004,10
AZ,2008,10
AZ,2012,11
AZ,2016,11
AZ,2020,11
AR,1944,9
AR,1948,9
AR,1952,8
AR,1956,8
AR,1960,8
AR,1964,6
AR,1968,6
AR,1972,6
AR,1976,6
AR,1980,6
AR,1984,6
AR,1988,6
AR,1992,6
AR,1996,6
AR,2000,6
AR,2004,6
AR,2008,6
AR,2012,6
AR,2016,6
AR,2020,6
CA,1944,25
CA,1948,25
CA,1952,32
CA,1956,32
CA,1960,32
CA,1964,40
CA,1968,40
CA,1972,45
CA,1976,45
CA,1980,45
CA,1984,47
CA,1988,47
CA,1992,54
CA,1996,54
CA,2000,54
CA,2004,55
CA,2008,55
CA,2012,55
CA,2016,55
CA,2020,55
CO,1944,6
CO,1948,6
CO,1952,6
CO,1956,6
CO,1960,6
CO,1964,6
CO,1968,6
CO,1972,7
CO,1976,7
CO,1980,7
CO,1984,8
CO,1988,8
CO,1992,8
CO,1996,8
CO,2000,8
CO,2004,9
CO,2008,9
CO,2012,9
CO,2016,9
CO,2020,9
CT,1944,8
CT,1948,8
CT,1952,8
CT,1956,8
CT,1960,8
CT,1964,8
CT,1968,8
CT,1972,8
CT,1976,8
CT,1980,8
CT,1984,8
CT,1988,8
CT,1992,8
CT,1996,8
CT,2000,8
CT,2004,7
CT,2008,7
CT,2012,7
CT,2016,7
CT,2020,7
DE,1944,3
DE,1948,3
DE,1952,3
DE,1956,3
DE,1960,3
DE,1964,3
DE,1968,3
DE,1972,3
DE,1976,3
DE,1980,3
DE,1984,3
DE,1988,3
DE,1992,3
DE,1996,3
DE,2000,3
DE,2004,3
DE,2008,3
DE,2012,3
DE,2016,3
DE,2020,3
DC,1944,0
DC,1948,0
DC,1952,0
DC,1956,0
DC,1960,0
DC,1964,3
DC,1968,3
DC,1972,3
DC,1976,3
DC,1980,3
