card,Fighter,Opponent
UFC 258: Usman vs. Burns,Kamaru Usman,Gilbert Burns
UFC 258: Usman vs. Burns,Maycee Barber,Alexa Grasso
UFC 258: Usman vs. Burns,Kelvin Gastelum,Ian Heinisch
UFC 258: Usman vs. Burns,Ricky Simon,Brian Kelleher
UFC 258: Usman vs. Burns,Maki Pitolo,Julian Marquez
UFC 258: Usman vs. Burns,Rodolfo Vieira,Anthony Hernandez
UFC 258: Usman vs. Burns,Belal Muhammad,Dhiego Lima
UFC 258: Usman vs. Burns,Polyana Viana,Mallory Martin
UFC 258: Usman vs. Burns,Andre Ewell,Chris Gutierrez
UFC 258: Usman vs. Burns,Gabe Green,Philip Rowe
UFC 258: Usman vs. Burns,Gillian Robertson,Miranda Maverick
UFC Fight Night: Blaydes vs. Lewis,Curtis Blaydes,Derrick Lewis
UFC Fight Night: Blaydes vs. Lewis,Ketlen Vieira,Yana Kunitskaya
UFC Fight Night: Blaydes vs. Lewis,Charles Rosa,Darrick Minner
UFC Fight Night: Blaydes vs. Lewis,Aleksei Oleinik,Chris Daukaus
UFC Fight Night: Blaydes vs. Lewis,Andrei Arlovski,Tom Aspinall
UFC Fight Night: Blaydes vs. Lewis,Phillip Hawes,Nassourdine Imavov
UFC Fight Night: Blaydes vs. Lewis,Jared Gordon,Danny Chavez
UFC Fight Night: Blaydes vs. Lewis,Drakkar Klose,Jai Herbert
UFC Fight Night: Blaydes vs. Lewis,Eddie Wineland,John Castaneda
UFC Fight Night: Blaydes vs. Lewis,Nate Landwehr,Julian Erosa
UFC Fight Night: Blaydes vs. Lewis,Shana Dobson,Casey O'Neill
UFC Fight Night: Blaydes vs. Lewis,Chas Skelly,Jamall Emmers
UFC Fight Night: Blaydes vs. Lewis,Aiemann Zahabi,Drako Rodriguez
UFC Fight Night: Blaydes vs. Lewis,Serghei Spivac,Jared Vanderaa
UFC Fight Night: Rozenstruik vs. Gane,Jairzinho Rozenstruik,Ciryl Gane
UFC Fight Night: Rozenstruik vs. Gane,Marion Reneau,Macy Chiasson
UFC Fight Night: Rozenstruik vs. Gane,Nikita Krylov,Magomed Ankalaev
UFC 259: Blachowicz vs. Adesanya,Jan Blachowicz,Israel Adesanya
UFC 259: Blachowicz vs. Adesanya,Amanda Nunes,Megan Anderson
UFC 259: Blachowicz vs. Adesanya,Petr Yan,Aljamain Sterling
UFC 259: Blachowicz vs. Adesanya,Thiago Santos,Aleksandar Rakic
UFC 259: Blachowicz vs. Adesanya,Song Yadong,Kyler Phillips
UFC 259: Blachowicz vs. Adesanya,Sean Brady,Jake Matthews
UFC 259: Blachowicz vs. Adesanya,Kennedy Nzechukwu,Carlos Ulberg
UFC 259: Blachowicz vs. Adesanya,Rogerio Bontorin,Kai Kara-France
UFC 259: Blachowicz vs. Adesanya,Joseph Benavidez,Askar Askarov
UFC 259: Blachowicz vs. Adesanya,Islam Makhachev,Drew Dober
UFC Fight Night: Edwards vs. Chimaev,Leon Edwards,Khamzat Chimaev
UFC Fight Night: Edwards vs. Chimaev,Gloria de Paula,Jinh Yu Frey
UFC 260: Miocic vs. Ngannou,Stipe Miocic,Francis Ngannou
UFC 260: Miocic vs. Ngannou,Alexander Volkanovski,Brian Ortega
